task,model,fold,precision,recall,f1,accuracy
detection,sdcnn_gap,1,1.0,0.8260869565217391,0.9047619047619048,0.9130434782608695
detection,sdcnn_gap,2,1.0,0.7391304347826086,0.85,0.8695652173913043
detection,sdcnn_gap,3,0.8947368421052632,0.7391304347826086,0.8095238095238095,0.8260869565217391
detection,sdcnn_gap,4,1.0,0.6521739130434783,0.7894736842105263,0.8222222222222222
detection,sdcnn_gap,5,1.0,0.7272727272727273,0.8421052631578947,0.8666666666666667
