task,model,fold,precision,recall,f1,accuracy
detection,sdcnn_noaug,1,1.0,0.9130434782608695,0.9545454545454546,0.9565217391304348
detection,sdcnn_noaug,2,1.0,0.9565217391304348,0.9777777777777777,0.9782608695652174
detection,sdcnn_noaug,3,0.9047619047619048,0.8260869565217391,0.8636363636363636,0.8695652173913043
detection,sdcnn_noaug,4,0.9090909090909091,0.8695652173913043,0.8888888888888888,0.8888888888888888
detection,sdcnn_noaug,5,0.95,0.8636363636363636,0.9047619047619048,0.9111111111111111
