task,model_A,model_B,mean_F1_A,CI95_lo_A,CI95_hi_A,mean_F1_B,CI95_lo_B,CI95_hi_B,delta,t_stat,t_p,w_stat,w_p,cohen_d,significant
detection,sdcnn,vgg16,0.8840523212843122,0.8338125440451021,0.9307612712490763,0.9427895981087471,0.8983451536643026,0.9872340425531915,-0.05873727682443486,-1.5648830702517236,0.19266156001145643,2.0,0.1380107375686596,-0.6998369843759482,False
detection,sdcnn,mobilenetv2,0.8840523212843122,0.8338125440451021,0.9307612712490763,0.8975440961689698,0.8431893687707641,0.9458128300190989,-0.013491774884657581,-0.3023274248803333,0.7774710144741275,6.0,0.6858304344516057,-0.13520493469762238,False
detection,sdcnn,efficientnet_b0,0.8840523212843122,0.8338125440451021,0.9307612712490763,0.9092788348602301,0.8820061075875028,0.9363636363636363,-0.025226513575917875,-0.9405579962380071,0.40018500771171045,5.5,0.5896385516265671,-0.4206303232668214,False
