task,model,fold,precision,recall,f1,accuracy
diagnosis,sdcnn_gap,1,0.8181818181818182,1.0,0.9,0.8888888888888888
diagnosis,sdcnn_gap,2,0.8888888888888888,1.0,0.9411764705882353,0.9411764705882353
diagnosis,sdcnn_gap,3,1.0,1.0,1.0,1.0
diagnosis,sdcnn_gap,4,1.0,1.0,1.0,1.0
diagnosis,sdcnn_gap,5,1.0,1.0,1.0,1.0
