task,model,fold,precision,recall,f1,accuracy
detection,sdcnn,1,0.9545454545454546,0.9130434782608695,0.9333333333333333,0.9347826086956522
detection,sdcnn,2,1.0,0.9130434782608695,0.9545454545454546,0.9565217391304348
detection,sdcnn,3,0.85,0.7391304347826086,0.7906976744186046,0.8043478260869565
detection,sdcnn,4,0.9047619047619048,0.8260869565217391,0.8636363636363636,0.8666666666666667
detection,sdcnn,5,0.9473684210526315,0.8181818181818182,0.8780487804878049,0.8888888888888888
