label,task,mean_f1,std_f1,mean_prec,mean_rec,mean_acc
Dropout=0.3,detection,0.8886168456263898,0.05878137361898725,0.9324526731849387,0.8505928853754942,0.8944927536231884
Dropout=0.4,detection,0.8745702730030335,0.07922651705290232,0.9052490561441969,0.8509881422924901,0.881352657004831
Dropout=0.5,detection,0.8772586328400281,0.0683289520758722,0.9301502419149477,0.8339920948616601,0.8859903381642512
Dropout=0.6,detection,0.8649494949494949,0.067805997527384,0.9037433155080213,0.8335968379446641,0.8726570048309179
Dropout=0.7,detection,0.884848484848485,0.040155803087218035,0.9337662337662337,0.841897233201581,0.8903381642512077
