model,precision,recall,f1,accuracy,indomain_cv_f1,domain_gap
sdcnn,0.291970802919708,1.0,0.4519774011299435,0.291970802919708,0.8840523212843122,0.4320749201543687
vgg16,0.291970802919708,1.0,0.4519774011299435,0.291970802919708,0.9427895981087471,0.49081219697880357
mobilenetv2,0.291970802919708,1.0,0.4519774011299435,0.291970802919708,0.8975440961689698,0.4455666950390263
efficientnet_b0,1.0,0.1,0.18181818181818182,0.7372262773722628,0.9092788348602301,0.7274606530420482
