task,model,fold,precision,recall,f1,accuracy
diagnosis,efficientnet_b0,1,0.9,1.0,0.9473684210526315,0.9444444444444444
diagnosis,efficientnet_b0,2,1.0,1.0,1.0,1.0
diagnosis,efficientnet_b0,3,1.0,1.0,1.0,1.0
diagnosis,efficientnet_b0,4,1.0,1.0,1.0,1.0
diagnosis,efficientnet_b0,5,1.0,1.0,1.0,1.0
