task,model,fold,precision,recall,f1,accuracy
detection,mobilenetv2_tl,1,1.0,0.9565217391304348,0.9777777777777777,0.9782608695652174
detection,mobilenetv2_tl,2,0.8947368421052632,0.7391304347826086,0.8095238095238095,0.8260869565217391
detection,mobilenetv2_tl,3,0.9130434782608695,0.9130434782608695,0.9130434782608695,0.9130434782608695
detection,mobilenetv2_tl,4,0.9473684210526315,0.782608695652174,0.8571428571428571,0.8666666666666667
detection,mobilenetv2_tl,5,0.9523809523809523,0.9090909090909091,0.9302325581395349,0.9333333333333333
