task,model,fold,precision,recall,f1,accuracy
detection,efficientnet_b0,1,1.0,0.8695652173913043,0.9302325581395349,0.9347826086956522
detection,efficientnet_b0,2,0.9523809523809523,0.8695652173913043,0.9090909090909091,0.9130434782608695
detection,efficientnet_b0,3,0.9090909090909091,0.8695652173913043,0.8888888888888888,0.8913043478260869
detection,efficientnet_b0,4,0.9047619047619048,0.8260869565217391,0.8636363636363636,0.8666666666666667
detection,efficientnet_b0,5,0.9545454545454546,0.9545454545454546,0.9545454545454546,0.9555555555555556
