model,mean_F1,std_F1,mean_Prec,mean_Rec,mean_Acc,F1 (mean±std),model_label
efficientnet_b0,0.9092788348602301,0.03530986324393969,0.9441558441558442,0.8778656126482213,0.9122705314009663,0.9093 ± 0.0353,EfficientNet-B0
mobilenetv2,0.8975440961689698,0.06543325040007678,0.9415059387599435,0.8600790513833992,0.9034782608695652,0.8975 ± 0.0654,MobileNetV2
sdcnn,0.8840523212843122,0.06435418383008998,0.9313351560719981,0.841897233201581,0.8902415458937198,0.8841 ± 0.0644,SDCNN
vgg16,0.9427895981087471,0.05567865241778286,0.9469696969696969,0.9391304347826086,0.9429951690821256,0.9428 ± 0.0557,VGG-16
